date_string,sp500,dividend,dividend,earnings,earnings,cpi,cape,real_price,long_interest_rate
1915-08-01,8.35,0.4267,13.748105009900996,0.76,24.486899009901,10.1,11.584831641604604,269.03369306930705,4.129166666666666
1915-09-01,8.66,0.4275,13.773880693069314,0.79,25.453487128712883,10.1,12.011570757825893,279.02177029702983,4.113333333333333
1915-10-01,9.14,0.4283,13.664365627450987,0.82,26.161054901960792,10.2,12.54907613322016,291.60005098039227,4.0975
1915-11-01,9.46,0.4292,13.560136466019422,0.85,26.85488349514564,10.3,12.85771445355932,298.87905631067974,4.081666666666667
1915-12-01,9.48,0.43,13.58541165048544,0.88,27.802702912621367,10.3,12.878444602185992,299.5109359223302,4.065833333333333
1916-01-01,9.33,0.4408,13.792716769230775,0.9342,29.231297653846166,10.4,12.543563692516178,291.93749423076935,4.05
1916-02-01,9.2,0.4517,14.13377986538462,0.9883,30.924097057692315,10.4,12.354652326458801,287.8697692307693,4.0649999999999995
1916-03-01,9.17,0.4625,14.333888095238102,1.042,32.29386247619048,10.5,12.177052795748486,284.1983866666668,4.08
1916-04-01,9.07,0.4733,14.530220698113215,1.097,33.677693018867934,10.6,11.906481776593187,278.44728867924545,4.095
1916-05-01,9.27,0.4842,14.725924822429912,1.151,35.00524467289721,10.7,12.02625667190516,281.9275570093459,4.109999999999999
1916-06-01,9.36,0.495,14.91499166666667,1.205,36.30821203703705,10.8,11.995961222946582,282.0289333333334,4.125
1916-07-01,9.23,0.5058,15.240409666666672,1.259,37.93530203703705,10.8,11.791165275254553,278.1118648148149,4.140000000000001
1916-08-01,9.3,0.5167,15.42600739449542,1.313,39.199434311926616,10.9,11.732082638874163,277.65022018348634,4.155
1916-09-01,9.68,0.5275,15.46468423423424,1.368,40.105569729729744,11.1,11.94455241750447,283.78794954954964,4.17
1916-10-01,9.98,0.5383,15.501991982300888,1.422,40.95083150442479,11.3,12.045741763370799,287.40456991150455,4.1850000000000005
1916-11-01,10.21,0.5492,15.540831791304354,1.476,41.76669286956523,11.5,12.053230403230499,288.9145895652175,4.2
1916-12-01,9.8,0.56,15.709834482758628,1.53,42.921512068965534,11.6,11.41355918884949,274.922103448276,4.215
1917-01-01,9.57,0.5708,15.875948239316246,1.509,41.97057794871796,11.7,10.992361427383429,266.17523589743604,4.23
1917-02-01,9.03,0.5817,15.774637550000007,1.488,40.351832000000016,12,10.063187738735728,244.87704500000007,4.258333333333333
1917-03-01,9.31,0.5925,16.067513750000007,1.468,39.80946866666668,12,10.32715708010788,252.4701316666668,4.286666666666667
1917-04-01,9.17,0.6033,15.581323761904768,1.447,37.37141634920637,12.6,9.644531197281236,236.831988888889,4.315000000000001
1917-05-01,8.86,0.6142,15.614979343750003,1.426,36.25359906250001,12.8,9.138988813373576,225.25027187500007,4.343333333333334
1917-06-01,9.04,0.625,15.64509615384616,1.405,35.170176153846164,13,9.14822025953958,226.29067076923081,4.371666666666667
1917-07-01,8.79,0.6358,16.164122218750006,1.384,35.185821250000004,12.8,9.003472377228801,223.47064218750006,4.4
1917-08-01,8.53,0.6467,16.188293892307698,1.363,34.11882569230771,13,8.572680466753777,213.52427230769237,4.428333333333334
1917-09-01,8.12,0.6575,16.087393609022563,1.343,32.85987774436091,13.3,7.9508232642170595,198.676252631579,4.456666666666667
1917-10-01,7.68,0.6683,16.10939625185186,1.322,31.86685896296298,13.5,7.387133711108142,185.1266844444445,4.485
1917-11-01,7.04,0.6792,16.372141155555564,1.301,31.360653185185196,13.5,6.753013604774305,169.69946074074082,4.513333333333334
1917-12-01,6.8,0.69,16.38966569343066,1.28,30.40401751824819,13.7,6.412593898119817,161.52134306569351,4.541666666666667
1918-01-01,7.21,0.68,15.806017142857149,1.256,29.194643428571442,14,6.640646028655349,167.59027000000006,4.57
1918-02-01,7.43,0.67,15.463124822695043,1.232,28.43368624113476,14.1,6.784343551630277,171.47913049645396,4.564166666666667
1918-03-01,7.28,0.66,15.341134285714292,1.208,28.078924571428583,14,6.686355760455893,169.21736000000007,4.558333333333334
1918-04-01,7.21,0.65,14.89589436619719,1.183,27.110527746478887,14.2,6.520727730547157,165.2298436619719,4.5525
1918-05-01,7.44,0.64,14.363277241379315,1.159,26.010997379310353,14.5,6.582363231621079,166.97309793103457,4.546666666666667
1918-06-01,7.45,0.63,13.946485714285721,1.135,25.125811564625863,14.7,6.4962913186410525,164.92272789115654,4.5408333333333335
1918-07-01,7.51,0.62,13.361533774834442,1.111,23.943006490066235,15.1,6.371324093848986,161.846965562914,4.535
1918-08-01,7.58,0.61,12.88993376623377,1.087,22.96943935064936,15.4,6.303073760914589,160.1732753246754,4.529166666666667
1918-09-01,7.54,0.6,12.436356687898094,1.063,22.03307859872612,15.7,6.149170562431677,156.28354904458604,4.523333333333333
1918-10-01,7.86,0.59,11.999788750000004,1.038,21.111492750000007,16,6.290515321191318,159.86159250000006,4.5175
1918-11-01,8.06,0.58,11.579290797546015,1.014,20.243794601227002,16.3,6.333327495354152,160.9122134969326,4.511666666666667
1918-12-01,7.9,0.57,11.24171272727273,0.99,19.525080000000006,16.5,6.134580411283428,155.806193939394,4.505833333333333
1919-01-01,7.85,0.5667,11.176629127272731,0.985,19.426468484848492,16.5,6.098467639950103,154.82007878787886,4.5
1919-02-01,7.88,0.5633,11.315306135802475,0.98,19.68578024691359,16.2,6.239692771364975,158.2897432098766,4.539166666666667
1919-03-01,8.12,0.56,11.11183414634147,0.975,19.34649695121952,16.4,6.356074004869142,161.1215951219513,4.578333333333333
1919-04-01,8.39,0.5567,10.847916203592819,0.97,18.901524550898213,16.7,6.456139555819272,163.48844431137732,4.6175
1919-05-01,8.97,0.5533,10.654069786982253,0.965,18.581560355029595,16.9,6.829002261482031,172.72186153846164,4.656666666666666
1919-06-01,9.21,0.55,10.59052662721894,0.96,18.485282840236692,16.9,7.02161521478413,177.3431822485208,4.695833333333333
1919-07-01,9.51,0.5467,10.22448394252874,0.955,17.860585632183916,17.4,7.052837165446309,177.85776896551732,4.734999999999999
1919-08-01,8.87,0.5433,9.988677932203395,0.95,17.46593785310735,17.7,6.479131101705277,163.07670395480233,4.774166666666666
1919-09-01,9.01,0.54,9.872231460674161,0.945,17.27640505617978,17.8,6.558481672061262,164.7200101123596,4.813333333333333
1919-10-01,9.47,0.5367,9.649272961325968,0.94,16.900161325966856,18.1,6.794704199949304,170.26013591160228,4.852499999999999
1919-11-01,9.19,0.5333,9.380833481081085,0.935,16.446801621621628,18.5,6.467022574133134,161.65359027027034,4.891666666666667
1919-12-01,8.92,0.53,9.12547830687831,0.93,16.012631746031754,18.9,6.160717033799178,153.58352169312175,4.930833333333333
1920-01-01,8.83,0.5283,8.907685461139899,0.9192,15.498664538860108,19.3,5.98966777113944,148.8829502590674,4.97
1920-02-01,8.1,0.5267,8.789623620512824,0.9083,15.157803558974365,19.5,5.455347649907774,135.1736307692308,4.9799999999999995
1920-03-01,8.67,0.525,8.67230710659899,0.8975,14.82551548223351,19.7,5.798822727557161,143.21695736040616,4.99
1920-04-01,8.6,0.5233,8.388731004926111,0.8867,14.214194118226606,20.3,5.599858725506187,137.86181280788182,5
1920-05-01,8.06,0.5217,8.24128983495146,0.8758,13.835004097087385,20.6,5.188950462047496,127.32374174757287,5.01
